dir,hir,lvr,ccs,mcs,pbcr,dmi,self,single,uria,comdominiom,black,deny
0.221000003814697,0.221000003814697,0.8,5.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.265,0.265,0.921875,2.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.37200000762939506,0.24799999237060502,0.920398009950249,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.32,0.25,0.86046511627907,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.36,0.35,0.6,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.24,0.17,0.510526315789474,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.35,0.29,0.746666666666667,1.0,2.0,no,no,no,yes,3.9000000953674303,1,no,no
0.28,0.22,0.85,2.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.31,0.24,0.8972602739726031,2.0,2.0,no,yes,no,no,3.0999999046325697,0,no,yes
0.18,0.17,0.35874439461883395,2.0,1.0,no,no,no,yes,3.9000000953674303,0,no,no
0.28,0.27,0.223880597014925,1.0,2.0,no,no,no,yes,3.0999999046325697,1,no,no
0.31,0.3,0.6888888888888891,1.0,2.0,no,no,no,yes,4.30000019073486,0,no,no
0.28,0.27,0.537634408602151,1.0,2.0,no,yes,no,no,4.30000019073486,0,no,yes
0.36,0.34,0.6494382022471911,1.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.18,0.15,0.3625,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.36,0.27,0.833333333333333,2.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.23,0.22,0.6428571428571429,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.32,0.27,0.4375,2.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.31,0.29,0.7944444444444441,2.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.37,0.28,0.8,2.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.37,0.22,0.896341463414634,6.0,1.0,yes,yes,no,no,3.0999999046325697,0,no,yes
0.39,0.31,0.8785714285714291,3.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.32,0.32,0.772058823529412,1.0,2.0,no,no,no,yes,10.6000003814697,0,no,no
0.39,0.33,0.9010238907849829,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.33,0.31,0.6543778801843321,1.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.28,0.13,0.62962962962963,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.37,0.28,0.8947368421052628,1.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.3,0.25,0.485436893203884,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.31,0.29,0.949367088607595,1.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.26,0.21,0.891089108910891,1.0,2.0,no,no,no,yes,1.79999995231628,0,yes,no
0.36,0.29,0.863309352517986,1.0,2.0,no,no,no,yes,4.30000019073486,0,no,no
0.37,0.2,0.7142857142857142,5.0,1.0,no,no,no,no,4.30000019073486,0,no,no
0.35,0.26,0.7512195121951221,3.0,2.0,no,no,no,yes,3.5999999046325697,0,no,no
0.37,0.26,0.9021276595744679,1.0,2.0,no,no,no,yes,2.0,0,no,no
0.34,0.28,0.847058823529412,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.38,0.28,0.47368421052631604,1.0,2.0,no,no,no,no,3.9000000953674303,1,no,no
0.44,0.31,0.68796992481203,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.35,0.22,0.8978102189781021,2.0,1.0,no,no,no,no,4.30000019073486,0,yes,no
0.38,0.28,0.880851063829787,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.37,0.34,0.919753086419753,1.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.37,0.28,0.936363636363636,1.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.41,0.1,0.6428571428571429,1.0,1.0,no,no,no,no,2.0,1,no,no
0.35,0.34,1.47826086956522,1.0,2.0,no,yes,no,no,3.20000004768372,0,no,yes
0.41,0.3,0.72,3.0,4.0,no,no,no,no,3.20000004768372,0,no,yes
0.34,0.28,0.677966101694915,6.0,2.0,yes,no,no,yes,3.0999999046325697,0,no,no
0.29,0.19,0.9,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.27,0.26,0.8,6.0,2.0,yes,no,no,no,3.20000004768372,0,no,yes
0.37,0.27,0.853846153846154,1.0,2.0,no,no,no,yes,3.20000004768372,0,yes,no
0.34,0.3,0.7419354838709681,1.0,2.0,no,no,yes,no,3.9000000953674303,0,no,yes
0.36,0.15,0.675675675675676,2.0,1.0,no,no,no,yes,3.0999999046325697,0,no,no
0.34,0.32,0.64367816091954,5.0,3.0,no,no,no,yes,3.20000004768372,0,no,no
0.27,0.21,0.941176470588235,1.0,2.0,no,no,no,no,2.0,0,no,no
0.16,0.08,0.732484076433121,1.0,1.0,no,no,no,yes,3.20000004768372,0,no,no
0.39,0.28,0.91358024691358,1.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.36,0.26,0.207142857142857,5.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.313999996185303,0.265,0.934426229508197,1.0,2.0,yes,no,no,no,3.20000004768372,0,no,no
0.34,0.28,0.9034482758620691,1.0,2.0,yes,no,no,no,3.9000000953674303,0,no,no
0.332000007629395,0.28100000381469703,0.902439024390244,2.0,2.0,no,no,no,yes,10.6000003814697,0,no,no
0.33,0.33,0.636942675159236,1.0,1.0,no,no,yes,yes,4.30000019073486,0,no,no
0.399000015258789,0.27200000762939497,0.7692307692307689,1.0,2.0,no,no,no,yes,10.6000003814697,1,no,no
0.34200000762939503,0.322000007629395,0.75,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.375999984741211,0.27799999237060496,0.8,2.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.320999984741211,0.251000003814697,0.8888888888888891,1.0,2.0,no,no,no,no,4.30000019073486,1,no,no
0.27899999618530297,0.207999992370605,0.75187969924812,1.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.317000007629395,0.246000003814697,0.894039735099338,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.285,0.26,0.65,1.0,2.0,no,no,yes,no,3.9000000953674303,0,yes,no
0.365,0.24,0.9403973509933778,2.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.337000007629395,0.313999996185303,0.425531914893617,4.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.35,0.27,0.6785714285714289,1.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.35200000762939504,0.288999996185303,0.8846153846153849,2.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.35,0.28,0.939189189189189,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.344000015258789,0.251000003814697,0.902439024390244,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.28,0.28,0.7382550335570469,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.37799999237060494,0.225,0.8994708994708991,2.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.257999992370605,0.193999996185303,0.677966101694915,2.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.21799999237060502,0.0819999980926514,0.802197802197802,2.0,1.0,no,no,yes,no,10.6000003814697,0,no,no
0.23,0.17,0.553072625698324,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.285,0.285,0.651567944250871,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.265,0.265,0.835164835164835,2.0,2.0,yes,yes,no,no,4.30000019073486,0,no,yes
0.36,0.24,0.7843137254901958,1.0,4.0,no,no,no,yes,5.300000190734861,1,no,no
0.27200000762939497,0.27,0.666666666666667,1.0,1.0,no,no,no,no,2.0,0,no,no
0.36,0.22,0.8011363636363641,2.0,1.0,no,no,yes,yes,3.20000004768372,1,no,no
0.31,0.31,0.882352941176471,4.0,2.0,no,no,no,no,3.20000004768372,0,yes,yes
0.359000015258789,0.288999996185303,0.902985074626866,2.0,2.0,no,no,no,yes,4.30000019073486,0,no,yes
0.3970000076293951,0.243999996185303,0.660377358490566,2.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.34,0.26,0.7467532467532471,2.0,1.0,no,no,yes,no,10.6000003814697,0,no,no
0.218999996185303,0.21299999237060502,0.767676767676768,2.0,2.0,no,no,no,no,4.30000019073486,0,yes,yes
0.32,0.32,0.85,1.0,2.0,no,no,no,yes,4.30000019073486,0,no,no
0.32,0.24,0.948148148148148,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.28,0.28,0.43478260869565205,1.0,2.0,no,no,no,yes,2.0,0,no,no
0.38799999237060495,0.32,0.8881118881118879,3.0,2.0,no,no,no,no,2.0,0,yes,yes
